zip	type	primary_city	state	latitude	longitude
01088	STANDARD	West Hatfield	MA	42.39	-72.64
01089	STANDARD	West Springfield	MA	42.12	-72.65
01090	PO BOX	West Springfield	MA	42.12	-72.65
01092	PO BOX	West Warren	MA	42.19	-72.24
01093	PO BOX	Whately	MA	42.44	-72.65
01094	PO BOX	Wheelwright	MA	42.35	-72.14
01095	STANDARD	Wilbraham	MA	42.13	-72.43
01096	STANDARD	Williamsburg	MA	42.4	-72.76
01097	PO BOX	Woronoco	MA	42.18	-72.83
01098	STANDARD	Worthington	MA	42.41	-72.93
01101	PO BOX	Springfield	MA	42.11	-72.53
01102	PO BOX	Springfield	MA	42.11	-72.53
01103	STANDARD	Springfield	MA	42.1	-72.59
01104	STANDARD	Springfield	MA	42.13	-72.57
01105	STANDARD	Springfield	MA	42.1	-72.58
01106	STANDARD	Longmeadow	MA	42.04	-72.57
01107	STANDARD	Springfield	MA	42.12	-72.61
01108	STANDARD	Springfield	MA	42.08	-72.56
01109	STANDARD	Springfield	MA	42.11	-72.53
01111	UNIQUE	Springfield	MA	42.11	-72.53
01115	PO BOX	Springfield	MA	42.11	-72.53
01116	PO BOX	Longmeadow	MA	42.04	-72.57
01118	STANDARD	Springfield	MA	42.09	-72.53
01119	STANDARD	Springfield	MA	42.12	-72.51
01128	STANDARD	Springfield	MA	42.09	-72.49
01129	STANDARD	Springfield	MA	42.12	-72.49
01133	UNIQUE	Springfield	MA	42.1	-72.59
01138	PO BOX	Springfield	MA	42.11	-72.53
01139	PO BOX	Springfield	MA	42.11	-72.53
01144	STANDARD	Springfield	MA	42.11	-72.53
01151	STANDARD	Indian Orchard	MA	42.15	-72.51
01152	STANDARD	Springfield	MA	42.11	-72.53
01195	STANDARD	Springfield	MA	42.1	-72.58
01199	UNIQUE	Springfield	MA	42.12	-72.6
01201	STANDARD	Pittsfield	MA	42.45	-73.26
01202	PO BOX	Pittsfield	MA	42.45	-73.26
01203	PO BOX	Pittsfield	MA	42.45	-73.26
01220	STANDARD	Adams	MA	42.62	-73.11
01222	STANDARD	Ashley Falls	MA	42.05	-73.33
01223	STANDARD	Becket	MA	42.33	-73.07
01224	STANDARD	Berkshire	MA	42.51	-73.2
01225	STANDARD	Cheshire	MA	42.55	-73.15
01226	STANDARD	Dalton	MA	42.47	-73.16
01227	PO BOX	Dalton	MA	42.47	-73.16
01229	PO BOX	Glendale	MA	42.28	-73.34
01230	STANDARD	Great Barrington	MA	42.19	-73.35
01235	STANDARD	Hinsdale	MA	42.42	-73.07
01236	STANDARD	Housatonic	MA	42.27	-73.38
01237	STANDARD	Lanesboro	MA	42.51	-73.22
01238	STANDARD	Lee	MA	42.3	-73.25
01240	STANDARD	Lenox	MA	42.35	-73.28
01242	PO BOX	Lenox Dale	MA	42.33	-73.25
01243	PO BOX	Middlefield	MA	42.35	-73.01
01244	PO BOX	Mill River	MA	42.12	-73.26
01245	STANDARD	Monterey	MA	42.18	-73.21
01247	STANDARD	North Adams	MA	42.68	-73.11
01252	PO BOX	North Egremont	MA	42.17	-73.44
01253	STANDARD	Otis	MA	42.21	-73.11
01254	STANDARD	Richmond	MA	42.37	-73.36
01255	STANDARD	Sandisfield	MA	42.11	-73.13
01256	STANDARD	Savoy	MA	42.56	-73.02
01257	STANDARD	Sheffield	MA	42.1	-73.34
01258	STANDARD	South Egremont	MA	42.11	-73.46
01259	STANDARD	Southfield	MA	42.07	-73.23
01260	PO BOX	South Lee	MA	42.3	-73.34
01262	PO BOX	Stockbridge	MA	42.3	-73.32
01263	UNIQUE	Stockbridge	MA	42.3	-73.32
01264	PO BOX	Tyringham	MA	42.24	-73.19
01266	STANDARD	West Stockbridge	MA	42.31	-73.39
01267	STANDARD	Williamstown	MA	42.7	-73.2
01270	STANDARD	Windsor	MA	42.51	-73.04
01301	STANDARD	Greenfield	MA	42.58	-72.59
01302	PO BOX	Greenfield	MA	42.58	-72.59
01330	STANDARD	Ashfield	MA	42.53	-72.78
01331	STANDARD	Athol	MA	42.59	-72.23
01337	STANDARD	Bernardston	MA	42.66	-72.55
01338	STANDARD	Buckland	MA	42.57	-72.82
01339	STANDARD	Charlemont	MA	42.63	-72.88
01340	STANDARD	Colrain	MA	42.66	-72.68
01341	STANDARD	Conway	MA	42.51	-72.68
01342	STANDARD	Deerfield	MA	42.55	-72.6
01343	STANDARD	Drury	MA	42.66	-72.98
01344	STANDARD	Erving	MA	42.6	-72.4
01346	STANDARD	Heath	MA	42.66	-72.83
01347	PO BOX	Lake Pleasant	MA	42.56	-72.52
01349	STANDARD	Millers Falls	MA	42.56	-72.48
01350	PO BOX	Monroe Bridge	MA	42.72	-72.98
01351	STANDARD	Montague	MA	42.53	-72.53
01354	STANDARD	Gill	MA	42.62	-72.51
01355	STANDARD	New Salem	MA	42.5	-72.33
01360	STANDARD	Northfield	MA	42.7	-72.43
01364	STANDARD	Orange	MA	42.59	-72.3
01366	STANDARD	Petersham	MA	42.48	-72.18
01367	STANDARD	Rowe	MA	42.7	-72.9
01368	STANDARD	Royalston	MA	42.68	-72.18
01370	STANDARD	Shelburne Falls	MA	42.6	-72.74
01373	STANDARD	South Deerfield	MA	42.47	-72.59
01375	STANDARD	Sunderland	MA	42.46	-72.58
01376	STANDARD	Turners Falls	MA	42.59	-72.55
01378	STANDARD	Warwick	MA	42.68	-72.33
01379	STANDARD	Wendell	MA	42.55	-72.4
01380	STANDARD	Wendell Depot	MA	42.58	-72.37
01420	STANDARD	Fitchburg	MA	42.58	-71.81
01430	STANDARD	Ashburnham	MA	42.63	-71.9
01431	STANDARD	Ashby	MA	42.68	-71.81
01432	STANDARD	Ayer	MA	42.56	-71.58
01434	STANDARD	Devens	MA	42.53	-71.61
01436	STANDARD	Baldwinville	MA	42.6	-72.07
01438	PO BOX	East Templeton	MA	42.56	-72.03
01440	STANDARD	Gardner	MA	42.58	-71.98
01441	UNIQUE	Westminster	MA	42.58	-71.98
01450	STANDARD	Groton	MA	42.6	-71.57
01451	STANDARD	Harvard	MA	42.5	-71.58
01452	STANDARD	Hubbardston	MA	42.48	-72.01
